partition,location_id,sdi_quintile_2023_assignment_only
test_temporal_seen_country,206,Q1
test_temporal_seen_country,207,Q2
test_temporal_seen_country,208,Q1
test_temporal_seen_country,209,Q1
test_temporal_seen_country,210,Q1
test_temporal_seen_country,211,Q1
test_temporal_seen_country,212,Q2
test_temporal_seen_country,214,Q2
test_temporal_seen_country,215,Q2
test_temporal_seen_country,216,Q1
test_temporal_seen_country,217,Q1
test_temporal_seen_country,218,Q1
test_temporal_seen_country,305,Q4
test_temporal_seen_country,320,Q4
test_temporal_seen_country,349,Q5
test_temporal_seen_country,351,Q4
test_temporal_seen_country,367,Q5
test_temporal_seen_country,374,Q4
test_temporal_seen_country,376,Q4
test_temporal_seen_country,380,Q4
test_temporal_seen_country,393,Q4
test_temporal_seen_country,396,Q5
test_temporal_seen_country,413,Q4
test_temporal_seen_country,416,Q2
test_temporal_seen_country,422,Q4
test_temporal_seen_country,435,Q1
test_temporal_seen_country,522,Q2
